,X1,X2,X3
2015_NEH1_A680/PHZ51,0.234791383,0.869790135,0.81907136
2015_NYH2_A680/PHZ51,0.126589166,0.988346834,0.495364036
2015_NYH3_A680/PHZ51,0.260009259,0.911937792,0.077771434
2015_ONH1_A680/PHZ51,0.545186052,0.641079089,0.718918495
2015_ONH2_A680/PHZ51,0.853197925,0.499787943,0.71187257
2015_MNH1_B103/LH82,0.517891918,0.931721068,0.317577518
2015_NEH1_B103/LH82,0.255505396,0.228713919,0.889701535
2015_NYH2_B103/LH82,0.467716861,0.187549698,0.473978366
2015_NYH3_B103/LH82,0.471794617,0.496568284,0.245460098
2015_OHH1_B103/LH82,0.083481411,0.612753781,0.218483764
2015_ONH1_B103/LH82,0.887397962,0.689000171,0.627846608
2015_INH1_B103/PHB47,0.115649286,0.82970448,0.511377128
2015_KSH1_B103/PHB47,0.416527252,0.00467426,0.437074583
2015_MOH2_B103/PHB47,0.208474561,0.149281447,0.487317348
2015_NEH3_B103/PHB47,0.334895098,0.217185792,0.590614091
2015_ONH2_B103/PHB47,0.014396875,0.654923086,0.833403599
2015_INH1_B103/PHZ51,0.881891868,0.445846868,0.65881941
2015_KSH1_B103/PHZ51,0.718918757,0.028095215,0.519739317
2015_MNH1_B103/PHZ51,0.819132939,0.165593903,0.891100024
2015_MOH2_B103/PHZ51,0.847857934,0.294459465,0.067193513
2015_NEH1_B103/PHZ51,0.192615729,0.159644616,0.639399692
2015_NEH3_B103/PHZ51,0.742211077,0.965399479,0.514399024
2015_NYH2_B103/PHZ51,0.230111058,0.419992377,0.014429665
2015_NYH3_B103/PHZ51,0.891985569,0.972125413,0.73252428
2015_OHH1_B103/PHZ51,0.476184847,0.037505468,0.457768716
2015_ONH1_B103/PHZ51,0.740553644,0.480890076,0.728708446
2015_ONH2_B103/PHZ51,0.92936431,0.507375688,0.689240038
2015_DEH1_B104/LH82,0.009806918,0.294822782,0.643335122
2015_ILH1_B104/LH82,0.102653237,0.693124658,0.042297606
2015_KSH1_B104/LH82,0.017534854,0.455424234,0.957401038
2015_MOH1_B104/LH82,0.394302918,0.50650588,0.822805132
2015_MOH2_B104/LH82,0.264591389,0.347130132,0.113084175
2015_ONH2_B104/LH82,0.6982024,0.101609117,0.930043971
2015_DEH1_B104/PHZ51,0.416189969,0.578625447,0.539346329
2015_ILH1_B104/PHZ51,0.373351425,0.192608878,0.602723551
2015_KSH1_B104/PHZ51,0.740574087,0.376793944,0.852262397
2015_MOH1_B104/PHZ51,0.250355471,0.49256753,0.648094469
2015_MOH2_B104/PHZ51,0.917090928,0.054467889,0.064301309
2015_ONH2_B104/PHZ51,0.832324761,0.294097192,0.855212063
2015_MNH1_B105/LH82,0.703211433,0.449267733,0.675898672
2015_MOH1_B105/LH82,0.273345538,0.296866478,0.098631738
2015_NEH2_B105/LH82,0.22942526,0.910581328,0.411402775
2015_NEH3_B105/LH82,0.509707586,0.8108776,0.959631481
2015_NEH4_B105/LH82,0.864259578,0.672584254,0.662246742
2015_MNH1_B105/PHZ51,0.899394928,0.748821694,0.484524255
2015_MOH1_B105/PHZ51,0.556204345,0.77168531,0.47820824
2015_NEH2_B105/PHZ51,0.609809459,0.662308996,0.541907947
2015_NEH3_B105/PHZ51,0.292021108,0.447760569,0.055924696
2015_NEH4_B105/PHZ51,0.959886974,0.499702939,0.088387337
2015_DEH1_B106/LH82,0.42585044,0.472296662,0.191587336
2015_KSH1_B106/LH82,0.458331517,0.227077954,0.153542077
2015_MOH2_B106/LH82,0.279432377,0.188047636,0.789452468
2015_NEH1_B106/LH82,0.091620901,0.155153135,0.340452759
2015_NYH2_B106/LH82,0.736445418,0.737892146,0.2351412
2015_ONH2_B106/LH82,0.859802329,0.674927829,0.176938185
2015_DEH1_B106/PHZ51,0.541002885,0.423086538,0.359537195
2015_KSH1_B106/PHZ51,0.778590849,0.18812059,0.284261526
2015_MOH2_B106/PHZ51,0.949338682,0.628863986,0.0698899
2015_NEH1_B106/PHZ51,0.481713085,0.206806864,0.877814728
2015_NYH2_B106/PHZ51,0.050502703,0.209523725,0.684517522
2015_ONH2_B106/PHZ51,0.352608861,0.130908972,0.855992004
2015_INH1_B109/LH82,0.319291997,0.850922224,0.400628093
2015_KSH1_B109/LH82,0.925105915,0.545900266,0.057998459
2015_MOH1_B109/LH82,0.680065132,0.831387097,0.614861078
2015_MOH2_B109/LH82,0.805422246,0.553575907,0.282519765
2015_NEH1_B109/LH82,0.763771386,0.456996922,0.888788532
2015_NEH2_B109/LH82,0.608369456,0.343444617,0.175222717
2015_NEH3_B109/LH82,0.011011032,0.877373092,0.613857681
2015_NYH2_B109/LH82,0.66337005,0.132800242,0.716251796
2015_OHH1_B109/LH82,0.022932601,0.705922077,0.041785309
2015_ONH2_B109/LH82,0.298294425,0.332630038,0.615769102
2015_INH1_B109/PHZ51,0.215151469,0.152568794,0.16600019
2015_KSH1_B109/PHZ51,0.690654342,0.227606485,0.204108773
2015_MOH1_B109/PHZ51,0.125018262,0.194001944,0.977910048
2015_MOH2_B109/PHZ51,0.27386152,0.76511865,0.485815435
2015_NEH1_B109/PHZ51,0.032311319,0.188797014,0.290565869
2015_NEH2_B109/PHZ51,0.423538467,0.691291702,0.006383327
2015_NEH3_B109/PHZ51,0.041268951,0.193443731,0.48876033
2015_NYH2_B109/PHZ51,0.595929833,0.829160266,0.508927661
2015_OHH1_B109/PHZ51,0.666636831,0.839536237,0.420012026
2015_ONH2_B109/PHZ51,0.136174394,0.772775387,0.919722643
2015_DEH1_B111/LH82,0.547590436,0.105093269,0.005682394
2015_ILH1_B111/LH82,0.189960745,0.042517366,0.498400248
2015_KSH1_B111/LH82,0.184937395,0.468641787,0.992110987
2015_MNH1_B111/LH82,0.521871206,0.925304809,0.959335439
2015_MOH1_B111/LH82,0.032755668,0.496136083,0.634565417
2015_MOH2_B111/LH82,0.286931573,0.919265241,0.60861978
2015_NEH3_B111/LH82,0.252487874,0.973180222,0.847083099
2015_NEH4_B111/LH82,0.21524986,0.227051481,0.578528523
2015_NYH2_B111/LH82,0.075463415,0.486146938,0.254311062
2015_ONH2_B111/LH82,0.126727933,0.917966184,0.469975123
2015_DEH1_B111/PHZ51,0.642374516,0.871886181,0.192747506
2015_ILH1_B111/PHZ51,0.352046572,0.157273365,0.618222618
2015_KSH1_B111/PHZ51,0.333903205,0.296974433,0.854485132
2015_MNH1_B111/PHZ51,0.811032487,0.64954893,0.70176157
2015_MOH1_B111/PHZ51,0.033403166,0.132301605,0.582437304
2015_MOH2_B111/PHZ51,0.76380026,0.087546075,0.986177892
2015_NEH3_B111/PHZ51,0.008644875,0.94377191,0.55842087
2015_NEH4_B111/PHZ51,0.62265547,0.137049992,0.786496005
2015_NYH2_B111/PHZ51,0.856717404,0.030352578,0.590458646
2015_ONH2_B111/PHZ51,0.11017853,0.964188319,0.425075629
2015_DEH1_B118/PHB47,0.685779171,0.582109249,0.181393054
2015_KSH1_B118/PHB47,0.062551983,0.657943971,0.526216838
2015_NEH3_B118/PHB47,0.497893238,0.699188797,0.153069556
2015_NYH3_B118/PHB47,0.379883938,0.473994401,0.932662119
2015_OHH1_B118/PHB47,0.050488963,0.221646487,0.557020114
2015_ONH1_B118/PHB47,0.738399776,0.576613948,0.157686199
2015_ONH2_B118/PHB47,0.637605427,0.374199672,0.776266313
2015_ILH1_B119/LH82,0.698377043,0.45924248,0.598531691
2015_KSH1_B119/LH82,0.802508567,0.616329922,0.642537315
2015_MNH1_B119/LH82,0.798490255,0.040991436,0.227654051
2015_MOH1_B119/LH82,0.338536324,0.745968422,0.57052256
2015_MOH2_B119/LH82,0.567004871,0.020452378,0.080997004
2015_NEH3_B119/LH82,0.917075392,0.149998482,0.609927472
2015_NEH4_B119/LH82,0.646706726,0.911342594,0.884331022
2015_NYH2_B119/LH82,0.366033307,0.877781495,0.131353696
2015_OHH1_B119/LH82,0.788847273,0.039392172,0.581949279
2015_ILH1_B119/PHZ51,0.112190387,0.748711643,0.885655917
2015_KSH1_B119/PHZ51,0.314118777,0.096521947,0.077584366
2015_MNH1_B119/PHZ51,0.081979438,0.549330172,0.3938275
2015_MOH1_B119/PHZ51,0.340632878,0.741569762,0.416116462
2015_MOH2_B119/PHZ51,0.188155688,0.660339867,0.655893969
2015_NEH3_B119/PHZ51,0.797167524,0.517003352,0.394717561
2015_NEH4_B119/PHZ51,0.981114407,0.605492373,0.17231106
2015_NYH2_B119/PHZ51,0.491952709,0.899277549,0.259546128
2015_OHH1_B119/PHZ51,0.344419223,0.226257974,0.89458768
2015_DEH1_B14A/C103,0.395049719,0.895482859,0.710360059
2015_ILH1_B14A/C103,0.305612925,0.053428162,0.037214262
2015_INH1_B14A/C103,0.151223024,0.662854296,0.509538376
2015_KSH1_B14A/C103,0.098505059,0.566264863,0.90436635
2015_MNH1_B14A/C103,0.34231618,0.802512155,0.928887649
2015_MOH1_B14A/C103,0.036854143,0.786359854,0.270633604
2015_MOH2_B14A/C103,0.410485563,0.542456725,0.339951717
2015_NEH1_B14A/C103,0.403015583,0.54683437,0.474007202
2015_NEH2_B14A/C103,0.582144821,0.50722393,0.248813413
2015_NEH3_B14A/C103,0.729669368,0.595958927,0.67587355
2015_NEH4_B14A/C103,0.811978133,0.271680204,0.096653715
2015_NYH2_B14A/C103,0.426013607,0.061802941,0.962642873
2015_NYH3_B14A/C103,0.662593584,0.707725874,0.877812429
2015_OHH1_B14A/C103,0.825484243,0.66996571,0.228623432
2015_ONH1_B14A/C103,0.190238017,0.258193663,0.900715238
2015_ONH2_B14A/C103,0.058179882,0.203541669,0.406136697
2014_ILH1_B14A/H95,0.716217586,0.052770883,0.647472135
2014_INH1_B14A/H95,0.603444455,0.122345961,0.425956053
2014_MNH1_B14A/H95,0.394178247,0.794331793,0.08723611
2014_MOH1_B14A/H95,0.954659637,0.444019998,0.739333914
2014_MOH2_B14A/H95,0.907794357,0.159515342,0.940247047
2014_NEH1_B14A/H95,0.200189378,0.571417608,0.803577321
2014_NEH2_B14A/H95,0.340441109,0.334443631,0.795037327
2014_NYH2_B14A/H95,0.297372722,0.775592385,0.878196824
2014_WIH1_B14A/H95,0.101652599,0.512990183,0.452044087
2015_DEH1_B14A/H95,0.911155499,0.888937502,0.590632077
2015_ILH1_B14A/H95,0.915241904,0.46902021,0.09290184
2015_INH1_B14A/H95,0.690625291,0.746280875,0.236355604
2015_KSH1_B14A/H95,0.321498205,0.211139383,0.56380779
2015_MNH1_B14A/H95,0.993934775,0.451220386,0.793032234
2015_MOH1_B14A/H95,0.266663388,0.523335817,0.305717775
2015_MOH2_B14A/H95,0.402240233,0.582909057,0.162664529
2015_NEH1_B14A/H95,0.93521163,0.194436634,0.82688692
2015_NEH2_B14A/H95,0.575885077,0.987791211,0.496280108
2015_NEH3_B14A/H95,0.620896343,0.167959127,0.926282119
2015_NEH4_B14A/H95,0.53993238,0.787499457,0.455617504
2015_NYH2_B14A/H95,0.632455745,0.80081009,0.642884606
2015_NYH3_B14A/H95,0.868050972,0.093760775,0.512446409
2015_OHH1_B14A/H95,0.452242484,0.454401523,0.009443653
2015_ONH1_B14A/H95,0.167776664,0.395982401,0.13877584
2015_ONH2_B14A/H95,0.434635284,0.905484683,0.184334937
2015_NYH2_B14A/LH82,0.08842018,0.85813588,0.981501136
2015_NYH3_B14A/LH82,0.335382683,0.907979244,0.627102065
2015_ONH1_B14A/LH82,0.890980281,0.120944094,0.667641014
2015_ONH2_B14A/LH82,0.077363229,0.988539374,0.536789153
2014_ILH1_B14A/MO17,0.03222284,0.958892728,0.452764617
2014_MOH2_B14A/MO17,0.108397289,0.022538557,0.422042552
2014_NEH1_B14A/MO17,0.187920309,0.404258775,0.584233756
2015_NYH2_B14A/MO17,0.055810115,0.037911556,0.461404381
2015_NYH3_B14A/MO17,0.827908768,0.300548391,0.1234086
2015_ONH1_B14A/MO17,0.29303863,0.745638598,0.255646159
2015_ONH2_B14A/MO17,0.229381479,0.516577838,0.079671408
2014_ILH1_B14A/OH43,0.891864587,0.373424978,0.534757734
2014_INH1_B14A/OH43,0.570948753,0.439230249,0.73033552
2014_MNH1_B14A/OH43,0.00840393,0.412626345,0.653457449
2014_MOH1_B14A/OH43,0.774845689,0.11799111,0.474938498
2014_MOH2_B14A/OH43,0.961708398,0.028142446,0.45889781
2014_NEH1_B14A/OH43,0.732939271,0.878260643,0.034185923
2014_NEH2_B14A/OH43,0.481772215,0.809142594,0.59115536
2014_NYH2_B14A/OH43,0.0278008,0.278779487,0.7903428
2014_WIH1_B14A/OH43,0.825532823,0.018786208,0.245454189
2015_DEH1_B14A/OH43,0.47655705,0.658357729,0.90634016
2015_ILH1_B14A/OH43,0.070295321,0.982453506,0.409316821
2015_INH1_B14A/OH43,0.273820832,0.847993868,0.309482167
2015_KSH1_B14A/OH43,0.926982444,0.498169894,0.076360055
2015_MNH1_B14A/OH43,0.330553623,0.559741582,0.427032513
2015_MOH1_B14A/OH43,0.43091164,0.375242148,0.277525493
2015_MOH2_B14A/OH43,0.179117533,0.230647928,0.669321538
2015_NEH1_B14A/OH43,0.310069881,0.894722251,0.316098521
2015_NEH2_B14A/OH43,0.988368425,0.785859724,0.401197478
2015_NEH3_B14A/OH43,0.054819885,0.469237333,0.748079475
2015_NYH2_B14A/OH43,0.766652905,0.196008439,0.474078521
2015_NYH3_B14A/OH43,0.813391911,0.251865863,0.934736064
2015_OHH1_B14A/OH43,0.928457774,0.839294785,0.14360012
2015_ONH1_B14A/OH43,0.948607555,0.759956902,0.077066951
2015_ONH2_B14A/OH43,0.644173859,0.970053029,0.839126942
2014_GAH1_B37/C103,0.472224315,0.42391577,0.831692732
2014_ILH1_B37/C103,0.992021049,0.147404316,0.45012761
2014_INH1_B37/C103,0.188041899,0.678967663,0.316780669
2014_MNH1_B37/C103,0.824063737,0.995850872,0.264602718
2014_MOH1_B37/C103,0.256267988,0.107626476,0.80706401
2014_MOH2_B37/C103,0.583724997,0.836493055,0.273374623
2014_NEH1_B37/C103,0.502212305,0.692254711,0.761733162
2014_NEH2_B37/C103,0.103290455,0.860658306,0.712286255
2014_NYH2_B37/C103,0.308736226,0.182812139,0.669126857
2014_TXH1_B37/C103,0.748728948,0.110863378,0.816761915
2014_TXH2_B37/C103,0.721350808,0.477501492,0.735021202
2014_WIH1_B37/C103,0.869212764,0.071656609,0.095675275
2015_DEH1_B37/C103,0.613064261,0.520512153,0.587610696
2015_ILH1_B37/C103,0.76610333,0.692775174,0.955357807
2015_INH1_B37/C103,0.819500747,0.58891512,0.694775491
2015_KSH1_B37/C103,0.402522545,0.889607074,0.599286735
2015_MNH1_B37/C103,0.142106727,0.25743884,0.651283508
2015_MOH1_B37/C103,0.376579169,0.41522891,0.668130315
2015_MOH2_B37/C103,0.350852141,0.024692968,0.987075033
2015_NEH1_B37/C103,0.092967056,0.522987182,0.884233637
2015_NEH2_B37/C103,0.607666103,0.428499649,0.705145297
2015_NEH3_B37/C103,0.865324853,0.409276791,0.515270243
2015_NEH4_B37/C103,0.963125077,0.774278081,0.093790953
2015_NYH2_B37/C103,0.789737014,0.89261206,0.684318481
2015_NYH3_B37/C103,0.837292918,0.086419557,0.879778635
2015_OHH1_B37/C103,0.54157118,0.2722563,0.483274623
2015_ONH1_B37/C103,0.074405633,0.348804714,0.684563564
2015_ONH2_B37/C103,0.40891921,0.66409966,0.986549697
2014_GAH1_B37/H95,0.242559836,0.597760283,0.337078861
2014_ILH1_B37/H95,0.427083883,0.118179376,0.251437746
2014_INH1_B37/H95,0.19389906,0.676263623,0.200166009
2014_MNH1_B37/H95,0.394050735,0.8251944,0.452757958
2014_MOH1_B37/H95,0.992054312,0.978208751,0.767862634
2014_MOH2_B37/H95,0.939748346,0.381491405,0.17308137
2014_NEH1_B37/H95,0.88476354,0.257991277,0.479301092
2014_NEH2_B37/H95,0.330638162,0.639769334,0.639783714
2014_NYH1_B37/H95,0.176356075,0.369668836,0.373868127
2014_NYH2_B37/H95,0.110512356,0.07297198,0.266472072
2014_TXH1_B37/H95,0.757616016,0.743839665,0.504801639
2014_TXH2_B37/H95,0.797425769,0.404485634,0.001802512
2014_WIH1_B37/H95,0.482628548,0.073841148,0.738335079
2015_DEH1_B37/H95,0.175786631,0.358315622,0.671073007
2015_ILH1_B37/H95,0.506953554,0.698032248,0.895531639
2015_INH1_B37/H95,0.264237643,0.348185666,0.966450036
2015_KSH1_B37/H95,0.629526203,0.580657299,0.178188384
2015_MNH1_B37/H95,0.995418504,0.023336166,0.6208826
2015_MOH1_B37/H95,0.677098593,0.845408918,0.465347452
2015_MOH2_B37/H95,0.385425396,0.258370782,0.575116819
2015_NEH1_B37/H95,0.946475553,0.43631912,0.401801234
2015_NEH2_B37/H95,0.277080743,0.449139403,0.342660339
2015_NEH3_B37/H95,0.940373286,0.535715955,0.514484396
2015_NEH4_B37/H95,0.437018276,0.034129531,0.837285838
2015_NYH2_B37/H95,0.384965785,0.759795929,0.332809691
2015_NYH3_B37/H95,0.564281571,0.731568033,0.756299821
2015_OHH1_B37/H95,0.536214438,0.019492206,0.542356761
2015_ONH1_B37/H95,0.293020267,0.739548919,0.132542113
2015_ONH2_B37/H95,0.711783092,0.125625912,0.253533412
2014_DEH1_B37/MO17,0.945728721,0.714506855,0.490169617
2014_ILH1_B37/MO17,0.436551795,0.686217727,0.959399521
2014_INH1_B37/MO17,0.028583412,0.989135188,0.724390514
2014_MNH1_B37/MO17,0.756025772,0.826060771,0.219645449
2014_MOH1_B37/MO17,0.73933044,0.524578258,0.742679701
2014_MOH2_B37/MO17,0.097692869,0.307679197,0.075400906
2014_NEH1_B37/MO17,0.024785908,0.196297659,0.216054174
2014_NEH2_B37/MO17,0.253849297,0.47870839,0.806103707
2014_NYH2_B37/MO17,0.004655182,0.278933915,0.011426561
2014_WIH1_B37/MO17,0.859687966,0.636508819,0.087773271
2015_KSH1_B37/MO17,0.171077764,0.112357457,0.263894053
2015_MOH2_B37/MO17,0.4942708,0.603962439,0.427652956
2014_DEH1_B37/OH43,0.735001859,0.683522799,0.186387003
2014_ILH1_B37/OH43,0.121344172,0.829091544,0.880591961
2014_INH1_B37/OH43,0.049436002,0.488433068,0.598138904
2014_MNH1_B37/OH43,0.543357554,0.854977873,0.82304266
2014_MOH1_B37/OH43,0.160402629,0.840554569,0.878485526
2014_MOH2_B37/OH43,0.24431412,0.106317193,0.726679618
2014_NEH1_B37/OH43,0.873782322,0.535151395,0.109726126
2014_NEH2_B37/OH43,0.792879122,0.129920957,0.773591223
2014_NYH2_B37/OH43,0.412693066,0.368746253,0.075681394
2014_WIH1_B37/OH43,0.621596829,0.648692695,0.004979487
2015_DEH1_B37/OH43,0.904192296,0.927232813,0.121417322
2015_ILH1_B37/OH43,0.050867247,0.65469018,0.149354991
2015_INH1_B37/OH43,0.987214901,0.455860313,0.290212301
2015_KSH1_B37/OH43,0.199391888,0.22720097,0.431956929
2015_MNH1_B37/OH43,0.997234945,0.713793067,0.991010611
2015_MOH1_B37/OH43,0.280137213,0.387597699,0.00120299
2015_MOH2_B37/OH43,0.721696192,0.353982165,0.56040151
2015_NEH1_B37/OH43,0.214148105,0.458326307,0.71625832
2015_NEH2_B37/OH43,0.894341483,0.422208097,0.462951478
2015_NEH3_B37/OH43,0.948113819,0.643757352,0.157530132
2015_NEH4_B37/OH43,0.205319299,0.367698941,0.944520726
2015_NYH2_B37/OH43,0.857140585,0.308713178,0.209485255
2015_NYH3_B37/OH43,0.065462953,0.439004291,0.959978719
2015_OHH1_B37/OH43,0.778895978,0.235606496,0.120800909
2015_ONH1_B37/OH43,0.693347968,0.240624666,0.534091386
2015_ONH2_B37/OH43,0.710631449,0.79453335,0.708624699
2015_KSH1_B37/PHZ51,0.621842895,0.343966245,0.762998229
2015_MOH2_B37/PHZ51,0.922424732,0.562040761,0.499475315
2015_INH1_B68/LH82,0.774843288,0.916549501,0.263426971
2015_KSH1_B68/LH82,0.76119348,0.376229227,0.819793364
2015_MOH2_B68/LH82,0.456583437,0.720083075,0.670658692
2015_NEH2_B68/LH82,0.242931962,0.323891168,0.440609967
2015_NEH3_B68/LH82,0.067393807,0.100049924,0.39473045
2015_OHH1_B68/LH82,0.203629971,0.461294714,0.421865
2015_INH1_B68/PHZ51,0.569215658,0.106028068,0.792746551
2015_KSH1_B68/PHZ51,0.876293084,0.384545405,0.675234013
2015_MOH2_B68/PHZ51,0.712036437,0.004724856,0.781563194
2015_NEH2_B68/PHZ51,0.880145879,0.363448481,0.665570201
2015_NEH3_B68/PHZ51,0.704100726,0.922304426,0.988509812
2015_OHH1_B68/PHZ51,0.839956841,0.424481417,0.536293732
2014_DEH1_B73/MO17,0.073395758,0.510991585,0.53383273
2014_GAH1_B73/MO17,0.534190172,0.477854737,0.002526027
2014_ILH1_B73/MO17,0.741764943,0.276877169,0.853779577
2014_INH1_B73/MO17,0.064778635,0.608195754,0.018045019
